AdultWeekend,LongestRun_mi,Name,NightSkiing_ac,Region,Runs,SkiableTerrain_ac,Snow Making_ac,TerrainParks,averageSnowfall,base_elev,daysOpenLastYear,double,fastQuads,fastSixes,projectedDaysOpen,quad,state,summit_elev,surface,total_chairs,trams,triple,vertical_drop,yearsOpen
85.0,1.0,Alyeska Resort,550.0,Alaska,76.0,1610.0,113.0,2.0,669.0,250,150.0,0,2,0,150.0,2,Alaska,3939,2,7,1,0,2500,60.0
53.0,2.0,Eaglecrest Ski Area,,Alaska,36.0,640.0,60.0,1.0,350.0,1200,45.0,4,0,0,90.0,0,Alaska,2600,0,4,0,0,1540,44.0
34.0,1.0,Hilltop Ski Area,30.0,Alaska,13.0,30.0,30.0,1.0,69.0,1796,150.0,0,0,0,152.0,0,Alaska,2090,2,3,0,1,294,36.0
89.0,2.0,Arizona Snowbowl,,Arizona,55.0,777.0,104.0,4.0,260.0,9200,122.0,1,0,1,122.0,2,Arizona,11500,2,8,0,2,2300,81.0
78.0,1.2,Sunrise Park Resort,80.0,Arizona,65.0,800.0,80.0,2.0,250.0,9200,115.0,1,1,0,104.0,2,Arizona,11100,0,7,0,3,1800,49.0
47.0,0.4,Yosemite Ski & Snowboard Area,,Northern California,10.0,88.0,,2.0,300.0,7200,110.0,3,0,0,107.0,0,California,7800,1,5,0,1,600,84.0
78.0,2.0,Dodge Ridge,,Sierra Nevada,67.0,862.0,,5.0,350.0,6600,,5,0,0,140.0,1,California,8200,4,12,0,2,1600,69.0
75.0,1.5,Donner Ski Ranch,,Sierra Nevada,52.0,505.0,60.0,2.0,400.0,7031,163.0,5,0,0,170.0,0,California,8012,2,8,0,1,750,82.0
159.0,3.0,Mammoth Mountain Ski Area,,Sierra Nevada,154.0,3500.0,700.0,7.0,400.0,7953,243.0,4,9,2,,1,California,11053,0,25,3,6,3100,66.0
59.0,1.1,Mt. Shasta Ski Park,,Sierra Nevada,32.0,425.0,225.0,2.0,300.0,5500,140.0,0,0,0,130.0,0,California,6890,1,4,0,3,1435,34.0
84.0,1.6,Mountain High,73.0,Sierra Nevada,59.0,290.0,275.0,1.0,108.0,6600,118.0,5,2,0,150.0,2,California,8200,3,14,0,2,1600,95.0
69.0,2.5,Mt. Baldy,,Sierra Nevada,26.0,400.0,80.0,,178.0,6500,175.0,4,0,0,200.0,0,California,8600,0,4,0,0,2100,67.0
83.0,2.2,Ski China Peak,,Sierra Nevada,45.0,1400.0,150.0,1.0,300.0,7030,140.0,2,0,0,144.0,1,California,8709,4,11,0,4,1679,62.0
79.0,1.2,Snow Valley,164.0,Sierra Nevada,28.0,240.0,188.0,6.0,160.0,6800,111.0,6,0,0,143.0,0,California,7841,1,12,0,5,1041,82.0
50.0,0.4,Soda Springs,,Sierra Nevada,18.0,200.0,20.0,,400.0,6700,150.0,1,0,0,144.0,0,California,7352,2,4,0,1,652,83.0
125.0,3.0,Sugar Bowl Resort,,Sierra Nevada,105.0,1650.0,375.0,3.0,500.0,6883,151.0,0,5,0,150.0,3,California,8383,2,12,1,1,1500,80.0
69.0,1.0,Tahoe Donner,,Sierra Nevada,14.0,120.0,,2.0,400.0,6750,150.0,0,0,0,144.0,1,California,7350,3,5,0,1,600,48.0
85.0,1.5,Arapahoe Basin Ski Area,,Colorado,145.0,1428.0,125.0,3.0,350.0,10780,230.0,2,1,0,233.0,2,Colorado,13050,3,9,0,1,2530,73.0
179.0,5.3,Aspen / Snowmass,,Colorado,336.0,5517.0,658.0,10.0,300.0,8104,138.0,5,15,1,138.0,4,Colorado,12510,9,40,3,3,4406,72.0
158.0,1.7,Copper Mountain Resort,,Colorado,150.0,2527.0,364.0,6.0,300.0,9712,164.0,4,4,2,164.0,0,Colorado,12313,9,24,1,4,2738,47.0
89.0,1.3,Purgatory,,Colorado,101.0,1605.0,250.0,9.0,260.0,8793,130.0,3,2,1,130.0,0,Colorado,10822,3,12,0,3,2029,54.0
